Date,Open,High,Low,Close,Adj Close,Volume,Daily Confirmed,Daily Recovered,Daily Deceased,Avg.
30-Jan,41380.14063,41380.14063,40829.91016,40913.82031,40913.82031,6700,1,0,0,41146.98047
31-Jan,41146.55859,41154.48828,40671.01172,40723.48828,40723.48828,11500,0,0,0,40935.02344
03-Feb,39701.01953,40014.89844,39563.07031,39872.30859,39872.30859,10600,0,0,0,39786.66406
04-Feb,40178.73828,40818.94141,40117.46094,40789.37891,40789.37891,15300,1,0,0,40484.05859
05-Feb,40921.71094,41177,40703.32031,41142.66016,41142.66016,13900,1,0,0,41032.18555
06-Feb,41209.12891,41405.42969,41113.10938,41306.03125,41306.03125,15000,0,0,0,41257.58008
07-Feb,41394.41016,41394.41016,41073.35938,41141.85156,41141.85156,15300,0,0,0,41268.13086
10-Feb,41166.71875,41172.05859,40798.98047,40979.62109,40979.62109,15200,0,0,0,41073.16992
11-Feb,41183.39063,41444.33984,41179.14063,41216.14063,41216.14063,7700,0,0,0,41199.76563
12-Feb,41330.85156,41671.85938,41330.85156,41565.89844,41565.89844,9600,0,0,0,41448.375
13-Feb,41707.21094,41709.30078,41338.30859,41459.78906,41459.78906,9100,0,0,0,41583.5
14-Feb,41510.19141,41702.35938,41183.12891,41257.73828,41257.73828,9800,0,0,0,41383.96484
17-Feb,41324.03906,41420.33984,41030.57813,41055.69141,41055.69141,6900,0,0,0,41189.86523
18-Feb,41042.46094,41042.46094,40610.94922,40894.37891,40894.37891,12300,0,1,0,40968.41992
19-Feb,41121.51172,41357.16016,41048.92969,41323,41323,5600,0,0,0,41222.25586
20-Feb,41334.96094,41399.92969,41134.30859,41170.12109,41170.12109,8400,0,0,0,41252.54102
24-Feb,41037.01172,41037.01172,40306.35938,40363.23047,40363.23047,8100,0,0,0,40700.12109
25-Feb,40497.71875,40536,40220.58984,40281.19922,40281.19922,7300,0,0,0,40389.45898
26-Feb,40194.89063,40255.39063,39760.39063,39888.96094,39888.96094,9000,0,0,0,40041.92578
27-Feb,39947.80078,39947.80078,39423.26953,39745.66016,39745.66016,9600,0,0,0,39846.73047
28-Feb,39087.46875,39087.46875,38219.96875,38297.28906,38297.28906,12700,0,0,0,38692.37891
02-Mar,38910.94922,39083.17188,37785.98828,38144.01953,38144.01953,13400,0,0,0,38527.48438
03-Mar,38480.89063,38754.23828,38142.30078,38623.69922,38623.69922,10600,0,0,0,38552.29492
04-Mar,38715.71875,38791.69922,37846.10156,38409.48047,38409.48047,15300,2,0,0,38562.59961
05-Mar,38604.25,38887.80078,38386.67969,38470.60938,38470.60938,13500,1,0,0,38537.42969
06-Mar,37613.96094,37747.07031,37011.08984,37576.62109,37576.62109,19000,22,0,0,37595.29102
09-Mar,36950.19922,36950.19922,35109.17969,35634.94922,35634.94922,18800,3,0,0,36292.57422
11-Mar,35468.89844,36021.51172,35261.92188,35697.39844,35697.39844,27900,9,0,0,35583.14844
12-Mar,34472.5,34472.5,32493.09961,32778.14063,32778.14063,25200,15,1,0,33625.32031
13-Mar,31214.13086,34769.48047,29388.9707,34103.48047,34103.48047,32600,8,0,0,32658.80566
16-Mar,33103.23828,33103.23828,31276.30078,31390.07031,31390.07031,18100,11,0,1,32246.6543
17-Mar,31611.57031,32047.98047,30394.93945,30579.08984,30579.08984,21500,10,3,0,31095.33008
18-Mar,30968.83984,31101.76953,28613.05078,28869.50977,28869.50977,31300,14,1,0,29919.17481
19-Mar,27773.35938,29370.5293,26714.46094,28288.23047,28288.23047,33200,20,1,1,28030.79492
20-Mar,28460.82031,30418.19922,27932.66992,29915.96094,29915.96094,32100,25,0,0,29188.39063
23-Mar,27608.80078,27900.83008,25880.83008,25981.24023,25981.24023,21800,78,0,0,26795.02051
24-Mar,27056.23047,27462.86914,25638.90039,26674.0293,26674.0293,24700,69,0,3,26865.12988
25-Mar,26499.81055,28790.18945,26359.91016,28535.7793,28535.7793,141500,94,2,2,27517.79492
26-Mar,29073.71094,30099.91016,28566.33984,29946.76953,29946.76953,35000,74,15,1,29510.24023
27-Mar,30747.81055,31126.0293,29346.99023,29815.58984,29815.58984,116900,86,3,1,30281.7002
30-Mar,29226.55078,29497.57031,28290.99023,28440.32031,28440.32031,23200,136,10,5,28833.43555
31-Mar,29294.93945,29770.88086,28667.35938,29468.49023,29468.49023,26400,120,17,3,29381.71484
01-Apr,29505.33008,29505.98047,28073.42969,28265.31055,28265.31055,18000,187,35,14,28885.32031
